SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,Daily Range
AGRITECH,EQ,45.15,45.85,44.2,45.15,44.7,45.15,3128,141595.05,31-JAN-2020,133,INE449G01018,1.6499977
AGROPHOS,EQ,23.65,23.65,23.65,23.65,23.65,24.85,2384,56381.6,31-JAN-2020,68,INE740V01019,0.0
AHLADA,SM,52.2,56.5,52.2,56.1,56.5,50.1,5000,276600,31-JAN-2020,5,INE00PV01013,4.299999
AHLEAST,EQ,177,182,177,179.7,179.15,182.05,336,60136.75,31-JAN-2020,15,INE926K01017,5.0
AHLUCONT,EQ,328,346,326.1,339.45,331.15,319.95,22773,7568193.65,31-JAN-2020,734,INE758C01029,19.899994
AHLWEST,EQ,336.05,348.75,336.05,340.7,340,340.05,48,16369.65,31-JAN-2020,20,INE915K01010,12.700012
AIAENG,EQ,1809,1809.15,1726.4,1776.2,1785,1800.15,25429,44863921.35,31-JAN-2020,2643,INE212H01026,82.75
AIONJSW,EQ,13.8,14.6,13.8,14,14,14.1,88985,1246906.3,31-JAN-2020,244,INE743C01021,0.8000002
AIRAN,EQ,13.7,13.9,12.75,13.5,13.8,13.4,20824,276856.45,31-JAN-2020,79,INE645W01026,1.1499996
AJANTPHARM,EQ,1120,1120,1086,1108.4,1107,1119.8,73403,80954561.45,31-JAN-2020,7346,INE031B01049,34.0
AJMERA,EQ,149.85,149.85,144.85,145.25,145.7,144.2,29851,4378844.4,31-JAN-2020,1004,INE298G01027,5.0
AKASH,BE,82.15,90,82.15,88.3,87.5,86.35,2638,231293.95,31-JAN-2020,25,INE737W01013,7.8499985
AKSHARCHEM,EQ,247.95,248,231.95,235.15,235.7,242.55,3138,739000.2,31-JAN-2020,181,INE542B01011,16.050003
AKSHOPTFBR,EQ,8.3,8.3,7.95,8,8.1,8,144564,1166944.15,31-JAN-2020,332,INE523B01011,0.35000038
AKZOINDIA,EQ,2088,2094,2032.35,2046.5,2041,2080.45,5235,10749112.3,31-JAN-2020,682,INE133A01011,61.650024
ALANKIT,EQ,14.85,15.35,14.4,15.3,15.25,14.7,213876,3176816.65,31-JAN-2020,328,INE914E01040,0.95000076
ALBERTDAVD,EQ,491.8,499.9,472,476.2,473,497,11246,5476231.3,31-JAN-2020,691,INE155C01010,27.899994
ALBK,EQ,18.15,18.25,17.3,17.55,17.75,18.05,1282086,22827858.85,31-JAN-2020,4903,INE428A01015,0.95000076
ALCHEM,BE,1.85,1.85,1.75,1.75,1.75,1.8,13534,24208.1,31-JAN-2020,37,INE964B01033,0.100000024
ALEMBICLTD,EQ,62.5,62.5,57.25,57.55,57.4,62.45,434353,25752858.2,31-JAN-2020,5897,INE426A01027,5.25
ALICON,EQ,398.7,398.7,385,387.15,389.95,384.85,2404,944018.4,31-JAN-2020,234,INE062D01024,13.700012
ALKALI,EQ,52.55,52.55,49.2,50,50.8,52.55,16586,839859.05,31-JAN-2020,515,INE773I01017,3.3499985
ALKEM,EQ,2310.15,2400.1,2280.85,2397.65,2389,2295.85,131984,313818020.5,31-JAN-2020,9712,INE540L01014,119.25
ALKYLAMINE,EQ,1320.05,1341.7,1308,1312.75,1316,1325.75,6780,8937574.85,31-JAN-2020,666,INE150B01021,33.69995
ALLCARGO,EQ,113.2,115,111,112.7,112.4,113.2,359356,40665370.55,31-JAN-2020,2401,INE418H01029,4.0
ALLSEC,EQ,283.95,298.5,280.6,289.55,290,283.95,7731,2229610.5,31-JAN-2020,438,INE835G01018,17.899994
ALMONDZ,EQ,15.85,16.7,15.85,16.25,16.5,16.35,1470,24094.25,31-JAN-2020,17,INE326B01027,0.8500004
ALPA,EQ,20.45,20.45,18.4,18.7,18.8,19.8,36690,699976.8,31-JAN-2020,292,INE385I01010,2.0500011
ALPHAGEO,EQ,202.9,203.95,192.25,194.4,194.95,199.25,5225,1026962.35,31-JAN-2020,411,INE137C01018,11.699997
ALPSINDUS,BE,1.25,1.3,1.2,1.3,1.3,1.25,7050,9004.7,31-JAN-2020,20,INE093B01015,0.099999905
AMARAJABAT,EQ,788,791.5,764,767.1,770,783.45,592956,457920061.15,31-JAN-2020,15053,INE885A01032,27.5
AMBER,EQ,1579.9,1635,1500,1510.45,1503,1497.85,328770,508734052.15,31-JAN-2020,25859,INE371P01015,135.0
AMBIKCO,EQ,847.75,847.75,836.1,841.1,847.6,843.55,3341,2815565.35,31-JAN-2020,238,INE540G01014,11.650024
AMBUJACEM,EQ,210.55,211.75,203.5,204.5,205,209.9,2906515,600930525.45,31-JAN-2020,21962,INE079A01024,8.25
AMDIND,EQ,17.05,18.3,16.75,17.4,17.1,17.4,8541,148991.2,31-JAN-2020,131,INE005I01014,1.5499992
AMJLAND,EQ,23.9,24.85,21.5,22.2,22.15,23.1,50269,1149259.85,31-JAN-2020,479,INE606A01024,3.3500004
AMRUTANJAN,EQ,463,463,451,455.5,453.5,460.4,21269,9680383.4,31-JAN-2020,1365,INE098F01031,12.0
ANANTRAJ,EQ,36.8,38,36,36.25,36.5,35.45,1019800,37700491.9,31-JAN-2020,5469,INE242C01024,2.0
ANDHRABANK,EQ,16.85,16.95,15.9,16.05,16.05,16.7,775004,12717630.9,31-JAN-2020,2484,INE434A01013,1.0500011
ANDHRACEMT,EQ,2.25,2.25,2.15,2.15,2.15,2.25,72800,158497.95,31-JAN-2020,102,INE666E01012,0.099999905
ANDHRSUGAR,EQ,325.25,328.6,318,319.75,318,325.2,23654,7640227.8,31-JAN-2020,1605,INE715B01013,10.600006
ANDPAPER,EQ,287,299.6,287,291.35,287.6,292.35,4284,1250665.8,31-JAN-2020,329,INE435A01028,12.600006
ANIKINDS,BE,9.9,10.45,9.9,9.9,9.9,10.4,4028,40537.65,31-JAN-2020,59,INE087B01017,0.5500002
ANKITMETAL,BE,0.45,0.5,0.4,0.4,0.4,0.45,5495,2396.15,31-JAN-2020,22,INE106I01010,0.099999994
ANSALAPI,EQ,5.35,5.5,5.15,5.5,5.5,5.25,60614,328132.95,31-JAN-2020,142,INE436A01026,0.3499999
ANSALHSG,BE,5.6,5.85,5.6,5.8,5.65,5.7,16968,97891.7,31-JAN-2020,25,INE880B01015,0.25
ANTGRAPHIC,BE,0.6,0.65,0.6,0.65,0.65,0.65,6128,3823.15,31-JAN-2020,8,INE414B01021,0.049999952
ANUP,EQ,610.05,619.8,592,603.4,605,616.15,24132,14544792.8,31-JAN-2020,856,INE294Z01018,27.799988
APARINDS,EQ,390.1,398.9,386.15,388.95,388,392.05,77701,30444611.9,31-JAN-2020,1277,INE372A01015,12.75
APCL,EQ,162,162,151,155.2,159,155.3,4135,638440,31-JAN-2020,144,INE071F01012,11.0
APCOTEXIND,EQ,161.25,161.25,153,154.6,154.25,156.85,29950,4683104.35,31-JAN-2020,722,INE116A01032,8.25
APEX,EQ,336.1,358,328,347.6,348.55,336,598863,206391438.95,31-JAN-2020,15087,INE346W01013,30.0
APLAPOLLO,EQ,2020,2028.75,1950.05,1967.25,1970,2013.35,39725,78375021.2,31-JAN-2020,6038,INE702C01019,78.69995
APLLTD,EQ,643.5,643.5,627.05,630.7,628,639.85,73427,46612844.45,31-JAN-2020,4336,INE901L01018,16.450012
APOLLO,EQ,77.35,78,73,73.8,74.55,75.55,30831,2288615.35,31-JAN-2020,816,INE713T01010,5.0
APOLLOHOSP,EQ,1699.2,1699.25,1656.45,1660.2,1668,1690.8,377299,630385491.45,31-JAN-2020,19866,INE437A01024,42.80005
APOLLOPIPE,EQ,410,410,395,397.75,395.1,402.05,2728,1093206.6,31-JAN-2020,284,INE126J01016,15.0
APOLLOTYRE,EQ,172,172.3,165.5,166.5,166.5,171.45,2059074,344997141.05,31-JAN-2020,11354,INE438A01022,6.800003
APOLSINHOT,EQ,735.65,750,735,743,743,743.15,169,125250.3,31-JAN-2020,87,INE451F01024,15.0
APTECHT,EQ,169.85,170.5,165,166.05,165.4,168.9,250661,41894498.55,31-JAN-2020,4904,INE266F01018,5.5
ARCHIDPLY,EQ,31.5,33,30.55,31.1,31.05,31.3,26450,842873.8,31-JAN-2020,628,INE877I01016,2.4500008
ARCHIES,EQ,17.3,17.5,17.05,17.3,17.4,17.3,13552,234467.65,31-JAN-2020,468,INE731A01020,0.45000076
ARCOTECH,BE,1.95,2,1.9,1.95,1.95,1.95,10655,20461.5,31-JAN-2020,27,INE574I01035,0.100000024
ARENTERP,EQ,10.85,10.85,10.85,10.85,10.85,10.35,714,7746.9,31-JAN-2020,2,INE610C01014,0.0
ARIES,EQ,72.6,73.45,71.25,71.75,71.7,72.55,17599,1269347.6,31-JAN-2020,341,INE298I01015,2.199997
ARIHANT,EQ,23,23.75,22.75,23.7,23.5,23.05,1722,40188.1,31-JAN-2020,32,INE413D01011,1.0
ARIHANTSUP,EQ,31.25,31.95,30.6,31.1,31.1,31.25,2449,76024.25,31-JAN-2020,61,INE643K01018,1.3500004
ARMANFIN,EQ,731.95,736,716,722.9,720.55,727.9,3307,2395312.95,31-JAN-2020,363,INE109C01017,20.0
AROGRANITE,EQ,38,39.9,37.55,37.9,38,36.4,11300,439700.9,31-JAN-2020,98,INE210C01013,2.3500023
ARROWGREEN,EQ,48.15,50.5,48.1,49.5,49,49.85,1489,73944.2,31-JAN-2020,69,INE570D01018,2.4000015
ARROWTEX,BE,9.2,9.65,9.2,9.5,9.55,9.4,4330,40365.35,31-JAN-2020,20,INE933J01015,0.4499998
ARSHIYA,EQ,17.5,17.5,17.1,17.2,17.1,17,15168,261278.55,31-JAN-2020,59,INE968D01022,0.39999962
ARSSINFRA,EQ,19.35,20.45,19.35,20.25,20.45,20,23980,483046.75,31-JAN-2020,110,INE267I01010,1.1000004
ARTEMISMED,BE,288,288,278.05,288,288,274.3,3377,970945.35,31-JAN-2020,99,INE025R01013,9.950012
ARVIND,EQ,42.75,43.4,41.25,42.6,43,42.6,2170821,92127874.9,31-JAN-2020,7787,INE034A01011,2.1500015
ARVINDFASN,EQ,388.35,395,385,392.2,392,388.7,11726,4587457.55,31-JAN-2020,640,INE955V01021,10.0
ARVSMART,EQ,98.9,98.9,93.1,94.2,94,95.95,40630,3892226.7,31-JAN-2020,1147,INE034S01021,5.800003
ASAHIINDIA,EQ,244.05,251.9,239.1,241.2,240.25,247.75,8808,2129045.25,31-JAN-2020,396,INE439A01020,12.799988
ASAHISONG,EQ,143,143,133.1,135.2,133.5,139.75,17916,2449178.1,31-JAN-2020,455,INE228I01012,9.899994
ASAL,EQ,32.2,32.85,31.6,31.65,32.4,32.35,12228,387521.9,31-JAN-2020,57,INE900C01027,1.2499981
ASCOM,SM,32.5,32.5,32.5,32.5,32.5,32.5,4000,130000,31-JAN-2020,1,INE08KD01015,0.0
ASHAPURMIN,EQ,33.15,34.95,33,34.05,34.05,34.15,11616,395031.95,31-JAN-2020,240,INE348A01023,1.9500008
ASHIANA,EQ,112.45,113,109.05,111.4,111.35,111.4,32058,3556014.2,31-JAN-2020,736,INE365D01021,3.949997
ASHIMASYN,EQ,7.65,7.8,7.05,7.4,7.4,7.7,28117,208346.4,31-JAN-2020,232,INE440A01010,0.75
ASHOKA,EQ,115.7,116.6,113.2,114.3,114.4,114.5,244247,28127791.7,31-JAN-2020,5599,INE442H01029,3.4000015
ASHOKLEY,EQ,83.7,83.9,81.5,81.95,81.95,83.4,11977376,989264601.1,31-JAN-2020,43975,INE208A01029,2.4000015
ASIANHOTNR,EQ,87,90,87,87.45,87.05,90.35,1499,131777.75,31-JAN-2020,182,INE363A01022,3.0
ASIANPAINT,EQ,1810,1824,1788.7,1795.65,1797,1805,1169614,2114917428.7,31-JAN-2020,61384,INE021A01026,35.30005
ASIANTILES,EQ,214.7,217.7,211.55,213.4,214.25,214.7,54019,11527815.65,31-JAN-2020,1303,INE022I01019,6.149994
ASPINWALL,EQ,159.4,159.95,150.05,154.95,159.95,154.9,446,69579.25,31-JAN-2020,17,INE991I01015,9.899994
ASTEC,EQ,473.05,486.5,454.4,472.7,467,480.55,14225,6766855.35,31-JAN-2020,699,INE563J01010,32.100006
ASTERDM,EQ,170,170,164.2,164.95,166.2,167.5,69668,11533011,31-JAN-2020,1400,INE914M01019,5.800003
ASTRAL,EQ,1203.1,1245,1195,1223.35,1198.2,1202.9,140220,170104208.55,31-JAN-2020,22600,INE006I01046,50.0
ASTRAMICRO,EQ,96.75,96.8,92.65,93.95,93.8,95.9,297627,28093537.2,31-JAN-2020,5947,INE386C01029,4.1500015
ASTRAZEN,EQ,2750,2760,2641,2672.5,2648,2730.95,27902,74700177.3,31-JAN-2020,2603,INE203A01020,119.0
ASTRON,EQ,39.05,40.4,38.6,40.2,40.15,38.95,90333,3569655.7,31-JAN-2020,484,INE646X01014,1.800003
ATFL,EQ,696.05,715,675.05,696.4,695.25,692.6,12698,8746586.8,31-JAN-2020,1017,INE209A01019,39.950012
ATLANTA,EQ,5.85,5.9,5.6,5.6,5.7,5.85,26939,151883.35,31-JAN-2020,246,INE285H01022,0.3000002
ATLASCYCLE,BE,49,51,48.25,49.05,49.8,49.25,1704,83862.65,31-JAN-2020,29,INE446A01025,2.75
ATUL,EQ,4940,4969.25,4868.1,4913.5,4912.5,4940,12217,60235819.8,31-JAN-2020,2461,INE100A01010,101.1499
ATULAUTO,EQ,258,260.25,251,252.15,251.1,258.05,18631,4730637.35,31-JAN-2020,1072,INE951D01028,9.25
AUBANK,EQ,1055,1073.9,1040,1064.35,1071,1047.65,421839,447838568.1,31-JAN-2020,17165,INE949L01017,33.900024
AURIONPRO,EQ,59.35,59.35,58.1,58.55,58.25,58.1,1471,85660.4,31-JAN-2020,53,INE132H01018,1.25
AUROPHARMA,EQ,480.65,487,477.1,481.4,482,480.25,3179653,1534054367.05,31-JAN-2020,56816,INE406A01037,9.899994
AUSOMENT,BE,40.35,40.4,36.7,39.45,39.5,38.5,774,30180.65,31-JAN-2020,14,INE218C01016,3.7000008
AUTOAXLES,EQ,856.05,878.95,834,843.65,834,855.05,10768,9178481.1,31-JAN-2020,804,INE449A01011,44.950012
AUTOIND,BE,24.9,24.9,24,24.15,24.15,24,972,23414.05,31-JAN-2020,22,INE718H01014,0.8999996
AUTOLITIND,EQ,24.55,25.5,24.2,24.5,24.9,24.9,1112,27471.6,31-JAN-2020,60,INE448A01013,1.2999992
AVADHSUGAR,EQ,299.7,301.5,292.1,294.95,294.5,296.5,74670,22078806.75,31-JAN-2020,2456,INE349W01017,9.399994
AVANTIFEED,EQ,660,667.95,642,662.1,664,658.75,649978,427684859.7,31-JAN-2020,23266,INE871C01038,25.950012
AVG,SM,61.5,63.75,61.5,63.75,63.75,66.05,2400,150300,31-JAN-2020,2,INE680Z01018,2.25
AVTNPL,EQ,36,36.05,34,34.3,34.2,35.65,106501,3703969.7,31-JAN-2020,830,INE488D01021,2.0499992
AXISBANK,EQ,734.7,737.25,725.2,729.3,731,730.9,8345819,6095630065.55,31-JAN-2020,92273,INE238A01034,12.049988
AXISCADES,BE,65.1,65.5,61.8,64.85,64.85,65.05,35385,2246338.35,31-JAN-2020,272,INE555B01013,3.7000008
AXISGOLD,EQ,3573,3584,3536,3563.2,3555,3568.55,700,2492939.25,31-JAN-2020,93,INF846K01347,48.0
AXISNIFTY,EQ,1241.78,1248.04,1228.39,1232.3,1228.39,1245.6,165,203737.98,31-JAN-2020,14,INF846K01ZL0,19.650024
AYMSYNTEX,EQ,35.95,35.95,33.1,34.6,34.25,35,7817,270496.7,31-JAN-2020,204,INE193B01039,2.8500023
BAGFILMS,BE,1.85,1.85,1.75,1.85,1.85,1.8,28546,52079.15,31-JAN-2020,37,INE116D01028,0.100000024
BAJAJ-AUTO,EQ,3150,3239.95,3150,3180.05,3182,3145.5,1141144,3659256507.7,31-JAN-2020,67911,INE917I01010,89.94995
BAJAJCON,EQ,230,230.45,221.2,224.15,225,227.5,127792,28686906.75,31-JAN-2020,4520,INE933K01021,9.25
BAJAJELEC,EQ,380.1,382,371.1,373.55,372,378.95,49848,18752061.85,31-JAN-2020,2631,INE193E01025,10.899994
BAJAJFINSV,EQ,9708,9708,9410,9441.4,9465,9639.65,329541,3140461200.9,31-JAN-2020,38729,INE918I01018,298.0
BAJAJHIND,EQ,6.45,6.55,6.3,6.35,6.35,6.4,916833,5858673.25,31-JAN-2020,1090,INE306A01021,0.25
BAJAJHLDNG,EQ,3393.85,3500,3350,3454.3,3465,3393.85,80743,275621373.65,31-JAN-2020,8102,INE118A01012,150.0
BAJFINANCE,EQ,4370,4420.1,4333.8,4365.9,4380.1,4364.3,1736927,7606434149.4,31-JAN-2020,122885,INE296A01024,86.30029
BALAJITELE,EQ,55.35,55.8,53.25,54.45,53.4,55,52114,2857598.1,31-JAN-2020,735,INE794B01026,2.5499992
BALAMINES,EQ,425,427.9,381,387.3,389,436.4,184283,72632571.5,31-JAN-2020,8103,INE050E01027,46.899994
BALAXI,EQ,86.9,86.9,74.05,81.95,82.95,80.35,5084,423588.9,31-JAN-2020,319,INE618N01014,12.849998
BALKRISHNA,BE,18.4,19.05,17.5,18,18.9,18.4,2005,36689.25,31-JAN-2020,21,INE875R01011,1.5499992
BALKRISIND,EQ,1086.5,1097,1061.75,1069.85,1071.45,1086.6,271802,293881724.55,31-JAN-2020,7319,INE787D01026,35.25
BALLARPUR,BE,0.65,0.65,0.55,0.65,0.65,0.6,2270232,1412292.35,31-JAN-2020,433,INE294A01037,0.099999964
BALMLAWRIE,EQ,121.1,122.65,120,120.25,120.4,120.9,97053,11732281.8,31-JAN-2020,1632,INE164A01016,2.6500015
BALPHARMA,EQ,47.65,48.5,46.5,46.6,47.35,47.05,4580,214752.45,31-JAN-2020,136,INE083D01012,2.0
BALRAMCHIN,EQ,170.3,171.4,165.3,166.2,166.15,170.45,735766,123136135.3,31-JAN-2020,9129,INE119A01028,6.099991
BANARBEADS,EQ,34.75,37.15,33.65,37.15,37.15,33.8,11295,402785.65,31-JAN-2020,217,INE655B01011,3.5
BANARISUG,EQ,1422.05,1489.75,1422.05,1462,1461,1481.65,262,383933.3,31-JAN-2020,176,INE459A01010,67.69995
BANCOINDIA,EQ,103.9,103.95,101,102.7,103.7,102.8,21336,2178739.35,31-JAN-2020,637,INE213C01025,2.949997
BANDHANBNK,EQ,446,459.75,446,450.35,450.4,437.7,2762309,1248650446.15,31-JAN-2020,68888,INE545U01014,13.75
BANG,EQ,21.8,22.7,20.15,20.8,20.25,22.35,2042,43958.2,31-JAN-2020,42,INE863I01016,2.5500011
BANKBARODA,EQ,93.5,94.1,92.4,92.7,92.45,93.1,22498038,2098088961.1,31-JAN-2020,42699,INE028A01039,1.699997
BANKBEES,EQ,315.35,317.35,313.5,316.9,315,312.71,2346565,741853983.58,31-JAN-2020,7293,INF204KB15I9,3.850006
BANKINDIA,EQ,66.55,68.95,65.15,67.8,68.7,66.1,6726700,450817159.65,31-JAN-2020,23110,INE084A01016,3.7999954
BANSWRAS,BE,122.45,122.45,115,119.5,121,118.45,5272,621545.2,31-JAN-2020,94,INE629D01012,7.449997
BARTRONICS,BE,1.25,1.3,1.25,1.25,1.25,1.25,4183,5328.25,31-JAN-2020,14,INE855F01034,0.049999952
BASF,EQ,993.95,1001,985,989.4,991.3,989.1,20247,20088978.95,31-JAN-2020,1387,INE373A01013,16.0
BASML,EQ,132.7,134,132.05,134,134,132.8,942,125454.65,31-JAN-2020,40,INE186H01014,1.949997
BATAINDIA,EQ,1840,1842,1796.85,1801.85,1804.4,1826.95,278726,505035395.95,31-JAN-2020,12005,INE176A01028,45.150024
BAYERCROP,EQ,4100.1,4145,4097.5,4130.1,4130,4131.6,4303,17751763.25,31-JAN-2020,1763,INE462A01022,47.5
BBL,EQ,887.4,914,874.3,882.05,879,854.3,51331,46026071.5,31-JAN-2020,4001,INE464A01028,39.700012
BBTC,EQ,1155.95,1157.85,1124,1132.25,1125,1149.5,58867,67001618,31-JAN-2020,3474,INE050A01025,33.849976
BCG,BE,5.4,5.4,5.4,5.4,5.4,5.15,70089,378480.6,31-JAN-2020,45,INE425B01027,0.0
BCONCEPTS,SM,26.25,26.25,26.25,26.25,26.25,26,3000,78750,31-JAN-2020,1,INE977Y01011,0.0
BCP,BE,19.65,21.65,19.65,21.1,21.65,20.65,243462,5027061.35,31-JAN-2020,183,INE905P01028,2.0
BDL,EQ,298.45,301.5,288.25,290.25,288.8,298.45,58563,17173843.9,31-JAN-2020,3120,INE171Z01018,13.25
BEARDSELL,BE,8.85,9.5,8.85,9.5,9.5,9.3,81,731.15,31-JAN-2020,6,INE520H01022,0.6499996
BEDMUTHA,BE,16.6,16.6,16.45,16.45,16.45,16.45,604,10026.1,31-JAN-2020,3,INE844K01012,0.14999962
BEL,EQ,96.25,99,89.9,90.65,90.1,100.75,56582665,5226883008.7,31-JAN-2020,177997,INE263A01024,9.099998
BEML,EQ,983.5,985.85,962,976.9,976.5,982.05,219289,213549617.4,31-JAN-2020,9489,INE258A01016,23.849976
BEPL,EQ,51.2,52,49.6,49.95,50,50.65,248028,12602438.95,31-JAN-2020,3234,INE922A01025,2.4000015
BERGEPAINT,EQ,568,574.5,557.5,560.15,560.1,569.95,1210461,685921835.25,31-JAN-2020,19370,INE463A01038,17.0
BETA,SM,65.35,65.35,64,65,65,70,52000,3378640,31-JAN-2020,37,INE351Y01019,1.3499985
BFINVEST,EQ,323.65,323.9,318.1,320.05,320,320.65,20862,6675966.85,31-JAN-2020,777,INE878K01010,5.799988
