SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,Daily Range
20MICRONS,EQ,36,36.3,35,35.15,35.4,36,12632,449218.7,29-Jan-20,146,INE144J01027,1.2999992
21STCENMGM,EQ,14.65,14.8,14.4,14.8,14.8,14.65,2173,31603.65,29-Jan-20,17,INE253B01015,0.40000057
3IINFOTECH,EQ,2.3,2.4,2.25,2.25,2.25,2.3,1527951,3537146.5,29-Jan-20,718,INE748C01020,0.1500001
3MINDIA,EQ,22587.95,22587.95,22055.15,22185.85,22250,22264.65,979,21757662.45,29-Jan-20,692,INE470A01017,532.7988
3PLAND,EQ,6.5,7.1,6.5,7.05,7.05,6.8,812,5623.85,29-Jan-20,18,INE105C01023,0.5999999
5PAISA,EQ,197,197,176,191.4,192.2,192.2,6100,1161451.5,29-Jan-20,197,INE618L01018,21.0
63MOONS,EQ,107.9,110,106.3,107.45,107.55,107.15,96331,10423793.95,29-Jan-20,2132,INE111B01023,3.699997
762GS2039,GS,92,92,92,92,92,92,1000,92000,29-Jan-20,1,IN0020190024,0.0
A2ZINFRA,EQ,7.1,7.2,7.1,7.1,7.15,7.05,76355,546666.8,29-Jan-20,171,INE619I01012,0.099999905
AAKASH,SM,67.25,67.5,67,67.45,67.5,64.6,28000,1882500,29-Jan-20,5,INE087Z01016,0.5
AARON,SM,49.45,49.45,49.45,49.45,49.45,49.75,3300,163185,29-Jan-20,1,INE721Z01010,0.0
AARTIDRUGS,EQ,608.05,641.8,608,628.7,629.9,608.25,51859,32768054.7,29-Jan-20,4105,INE767A01016,33.799988
AARTIIND,EQ,911,999,908.3,989.15,999,902.35,1341272,1298580225,29-Jan-20,46608,INE769A01020,90.70001
AARVEEDEN,EQ,14.45,14.45,13.65,13.95,13.95,14.2,1282,17978.35,29-Jan-20,46,INE273D01019,0.8000002
AAVAS,EQ,1964.8,1995,1949.15,1978.7,1970,1944.6,61858,122591971.3,29-Jan-20,14410,INE216P01012,45.849976
ABAN,EQ,25.95,26.5,25.55,25.75,25.9,25.8,28916,751521.65,29-Jan-20,381,INE421A01028,0.95000076
ABB,EQ,1331,1355.15,1331,1342.25,1341.7,1329.75,17111,22995111.15,29-Jan-20,1338,INE117A01022,24.150024
ABBOTINDIA,EQ,12698.6,12729,12620.15,12655.4,12630,12653.55,7315,92614401.65,29-Jan-20,1839,INE358A01014,108.84961
ABCAPITAL,EQ,103.75,104.6,101.25,101.65,101.8,102.75,1390909,142920874.9,29-Jan-20,16623,INE674K01013,3.3499985
ABFRL,EQ,229.8,232,227.1,228.1,228.5,228.7,172507,39585040.4,29-Jan-20,4040,INE647O01011,4.899994
ABSLBANETF,EQ,308,308,308,308,308,305.95,1,308,29-Jan-20,1,INF209KB1O58,0.0
ACC,EQ,1564.25,1574,1545.2,1551.7,1546.5,1561.35,405658,634057720.1,29-Jan-20,14489,INE012A01025,28.800049
ACCELYA,EQ,1067.1,1118,1067.1,1086.15,1092,1067.1,7331,8009271.4,29-Jan-20,936,INE793A01012,50.900024
ACE,EQ,87.05,89.3,86.6,88.2,89,86.35,278383,24578788.3,29-Jan-20,3257,INE731H01025,2.7000046
ADANIENT,EQ,231.7,238.35,231,232.3,231.75,229.9,3738186,877250878.8,29-Jan-20,23294,INE423A01024,7.350006
ADANIGAS,EQ,171.9,174.45,168.5,169.9,169.4,170.15,992354,170221215,29-Jan-20,11059,INE399L01023,5.949997
ADANIGREEN,EQ,188,191,185.05,186.3,186.05,187.65,631830,117978065,29-Jan-20,10351,INE364U01010,5.949997
ADANIPORTS,EQ,377.5,387.75,373.75,383.35,382.5,372.95,3588224,1377204827,29-Jan-20,46533,INE742F01042,14.0
ADANIPOWER,EQ,64.1,65.1,63.85,64.05,63.9,63.8,5907232,380661792.3,29-Jan-20,12018,INE814H01011,1.25
ADANITRANS,EQ,327.8,329.05,321,323.9,323.55,324.65,93414,30349930.1,29-Jan-20,4192,INE931S01010,8.049988
ADFFOODS,EQ,297.6,302,295,296.9,296.1,294.75,26479,7891347.1,29-Jan-20,882,INE982B01019,7.0
ADHUNIKIND,EQ,40,40.5,38.7,39.7,39.8,40.35,7972,317748.45,29-Jan-20,97,INE452L01012,1.7999992
ADLABS,BE,3.85,4.1,3.85,3.95,3.95,3.95,35895,142308.15,29-Jan-20,87,INE172N01012,0.25
ADORWELD,EQ,329.8,334,324,326,324,324,4217,1390667.85,29-Jan-20,306,INE045A01017,10.0
ADROITINFO,BE,6.5,6.5,6,6,6,6.2,1599,9913.7,29-Jan-20,13,INE737B01033,0.5
ADSL,BE,23.05,23.2,23.05,23.2,23.2,22.1,27312,633518.25,29-Jan-20,80,INE102I01027,0.15000153
ADVANIHOTR,EQ,54.95,57.7,53.65,57.25,57.5,54.8,25321,1427428.2,29-Jan-20,372,INE199C01026,4.049999
ADVENZYMES,EQ,172.1,175.3,172.1,173.5,173.8,173.45,36418,6342001.15,29-Jan-20,725,INE837H01020,3.199997
AEGISCHEM,EQ,208.55,211.2,207.5,209,209,208.55,109365,22888039,29-Jan-20,3273,INE208C01025,3.699997
